Martin Klizan,2016-0414,5
Pablo Cuevas,2016-0414,4
Renzo Olivo,2016-0414,3
Stephane Robert,2016-0414,3
Thiago Monteiro,2016-0414,3
Daniil Medvedev,2016-0414,3
Daniel Gimeno Traver,2016-0414,2
Philipp Kohlschreiber,2016-0414,2
Jan Satral,2016-0414,2
Guillermo Garcia Lopez,2016-0414,2
Steven Diez,2016-0414,2
Paul Henri Mathieu,2016-0414,2
Louis Wessels,2016-0414,1
Daniel Masur,2016-0414,1
Nicolas Kicker,2016-0414,1
Jan Mertl,2016-0414,1
Grega Zemlja,2016-0414,1
Nicolas Almagro,2016-0414,1
Maximo Gonzalez,2016-0414,1
Matteo Viola,2016-0414,1
Cedrik Marcel Stebe,2016-0414,1
Inigo Cervantes Huegun,2016-0414,1
Novak Djokovic,2016-0421,5
Jared Donaldson,2016-0421,4
Ryan Harrison,2016-0421,4
Gael Monfils,2016-0421,4
Kei Nishikori,2016-0421,4
Radek Stepanek,2016-0421,4
Dennis Novikov,2016-0421,3
